game,config,stateCov,codeCov
GH1,dqn_s84x4_count_aa,59,0.9033018868
GH1,dqn_s84x4_count_aa_noma,78,0.9033018868
GH1,dqn_s84x4_count_aa_nops,154,0.9056603774
GH1,dqn_s84x4_count_aa_nops_noma,146,0.9056603774
GH1,random_aa,62,0.9025157233
GH1,random_aa_noma,44,0.8710691824
GH1,random_aa_nops,115,0.9048742138
GH1,random_aa_nops_noma,113,0.9040880503
GH1,null,1,0.5786163522
GH2,dqn_s84x4_count_aa,106,0.4857643452
GH2,dqn_s84x4_count_aa_noma,61,0.4581690758
GH2,dqn_s84x4_count_aa_nops,77,0.4397722295
GH2,dqn_s84x4_count_aa_nops_noma,68,0.4424003504
GH2,random_aa,104,0.5098554534
GH2,random_aa_noma,80,0.4796320631
GH2,random_aa_nops,90,0.4358300482
GH2,random_aa_nops_noma,90,0.4664914586
GH2,null,1,0.2049934297
GH3,dqn_s84x4_count_aa,24978,0.700096432
GH3,dqn_s84x4_count_aa_noma,23562,0.700096432
GH3,dqn_s84x4_count_aa_nops,21296,0.700096432
GH3,dqn_s84x4_count_aa_nops_noma,21276,0.700096432
GH3,random_aa,26441,0.700096432
GH3,random_aa_noma,25945,0.700096432
GH3,random_aa_nops,26823,0.700096432
GH3,random_aa_nops_noma,26050,0.700096432
GH3,null,4,0.5554484089
GH4,dqn_s84x4_count_aa,199,0.9150641026
GH4,dqn_s84x4_count_aa_noma,163,0.9150641026
GH4,dqn_s84x4_count_aa_nops,117,0.9150641026
GH4,dqn_s84x4_count_aa_nops_noma,178,0.9150641026
GH4,random_aa,83,0.9150641026
GH4,random_aa_noma,67,0.9150641026
GH4,random_aa_nops,64,0.9150641026
GH4,random_aa_nops_noma,72,0.9150641026
GH4,null,5,0.7163461538
GH5,dqn_s84x4_count_aa,15,0.9001848429
GH5,dqn_s84x4_count_aa_noma,15,0.9001848429
GH5,dqn_s84x4_count_aa_nops,15,0.9001848429
GH5,dqn_s84x4_count_aa_nops_noma,15,0.9001848429
GH5,random_aa,15,0.9001848429
GH5,random_aa_noma,15,0.9001848429
GH5,random_aa_nops,15,0.9001848429
GH5,random_aa_nops_noma,15,0.9001848429
GH5,null,1,0.2292051756
GH6,dqn_s84x4_count_aa,1252,0.9268292683
GH6,dqn_s84x4_count_aa_noma,6,0.4146341463
GH6,dqn_s84x4_count_aa_nops,1267,0.9268292683
GH6,dqn_s84x4_count_aa_nops_noma,6,0.4146341463
GH6,random_aa,1379,0.9268292683
GH6,random_aa_noma,6,0.4146341463
GH6,random_aa_nops,1300,0.9268292683
GH6,random_aa_nops_noma,6,0.4146341463
GH6,null,6,0.4146341463
GH7,dqn_s84x4_count_aa,78,0.825567503
GH7,dqn_s84x4_count_aa_noma,1,0.3476702509
GH7,dqn_s84x4_count_aa_nops,70,0.825567503
GH7,dqn_s84x4_count_aa_nops_noma,1,0.3476702509
GH7,random_aa,101,0.825567503
GH7,random_aa_noma,1,0.3476702509
GH7,random_aa_nops,82,0.825567503
GH7,random_aa_nops_noma,1,0.3476702509
GH7,null,1,0.3405017921
GH8,dqn_s84x4_count_aa,13,1
GH8,dqn_s84x4_count_aa_noma,1,0.2295081967
GH8,dqn_s84x4_count_aa_nops,12,1
GH8,dqn_s84x4_count_aa_nops_noma,1,0.2295081967
GH8,random_aa,18,1
GH8,random_aa_noma,1,0.2295081967
GH8,random_aa_nops,15,1
GH8,random_aa_nops_noma,1,0.2295081967
GH8,null,1,0.2295081967
SP1,dqn_s84x4_count_aa,70,0.4552238806
SP1,dqn_s84x4_count_aa_noma,65,0.4552238806
SP1,dqn_s84x4_count_aa_nops,0,0
SP1,dqn_s84x4_count_aa_nops_noma,0,0
SP1,random_aa,57,0.4552238806
SP1,random_aa_noma,73,0.4574626866
SP1,random_aa_nops,0,0
SP1,random_aa_nops_noma,0,0
SP1,null,1,0.2313432836
SP2,dqn_s84x4_count_aa,2499,0.1789598109
SP2,dqn_s84x4_count_aa_noma,2336,0.1789598109
SP2,dqn_s84x4_count_aa_nops,0,0
SP2,dqn_s84x4_count_aa_nops_noma,0,0
SP2,random_aa,1226,0.1787234043
SP2,random_aa_noma,1186,0.1787234043
SP2,random_aa_nops,0,0
SP2,random_aa_nops_noma,0,0
SP2,null,17,0.1257683215
SP3,dqn_s84x4_count_aa,16,0.166819222
SP3,dqn_s84x4_count_aa_noma,15,0.1576659039
SP3,dqn_s84x4_count_aa_nops,5,0.1473684211
SP3,dqn_s84x4_count_aa_nops_noma,5,0.1573226545
SP3,random_aa,17,0.166819222
SP3,random_aa_noma,16,0.166819222
SP3,random_aa_nops,5,0.1473684211
SP3,random_aa_nops_noma,6,0.1473684211
SP3,null,3,0.1226544622
SP4,dqn_s84x4_count_aa,15,0.1519434629
SP4,dqn_s84x4_count_aa_noma,15,0.1519434629
SP4,dqn_s84x4_count_aa_nops,15,0.1537102473
SP4,dqn_s84x4_count_aa_nops_noma,13,0.1519434629
SP4,random_aa,18,0.1519434629
SP4,random_aa_noma,17,0.1541519435
SP4,random_aa_nops,17,0.1519434629
SP4,random_aa_nops_noma,17,0.1519434629
SP4,null,7,0.1219081272
SP5,dqn_s84x4_count_aa,184,0.04322607375
SP5,dqn_s84x4_count_aa_noma,188,0.04322607375
SP5,dqn_s84x4_count_aa_nops,204,0.04322607375
SP5,dqn_s84x4_count_aa_nops_noma,195,0.04322607375
SP5,random_aa,183,0.04322607375
SP5,random_aa_noma,131,0.04364038116
SP5,random_aa_nops,152,0.04322607375
SP5,random_aa_nops_noma,159,0.04364038116
SP5,null,1,0.02140588317
SP6,dqn_s84x4_count_aa,17,0.3472770324
SP6,dqn_s84x4_count_aa_noma,10,0.3378058406
SP6,dqn_s84x4_count_aa_nops,0,0
SP6,dqn_s84x4_count_aa_nops_noma,15,0.3472770324
SP6,random_aa,18,0.3472770324
SP6,random_aa_noma,11,0.3378058406
SP6,random_aa_nops,0,0
SP6,random_aa_nops_noma,18,0.3472770324
SP6,null,1,0.1649565904
SP7,dqn_s84x4_count_aa,72422,0.2766177995
SP7,dqn_s84x4_count_aa_noma,72444,0.2850584925
SP7,dqn_s84x4_count_aa_nops,0,0
SP7,dqn_s84x4_count_aa_nops_noma,0,0
SP7,random_aa,76305,0.2757293055
SP7,random_aa_noma,78491,0.2566266844
SP7,random_aa_nops,0,0
SP7,random_aa_nops_noma,0,0
SP7,null,20507,0.2122019843
SP8,dqn_s84x4_count_aa,57,0.3571145462
SP8,dqn_s84x4_count_aa_noma,52,0.3571145462
SP8,dqn_s84x4_count_aa_nops,6,0.2929052715
SP8,dqn_s84x4_count_aa_nops_noma,3,0.2120491478
SP8,random_aa,21,0.3583036068
SP8,random_aa_noma,25,0.3737613952
SP8,random_aa_nops,4,0.2120491478
SP8,random_aa_nops_noma,5,0.2929052715
SP8,null,3,0.1430836306
